mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
805746	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	14	9	1	4
807131	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	11	3	5	3
810018	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	18	7	5	6
811599	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	15	5	2	8
812750	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	9	3	4	2
814903	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	8	1	3	4
816420	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	13	9	2	2
817973	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	4	2	1	1
819357	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	12	3	7	2
821242	PROB	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	15	6	4	5
822758	STOP	n/a	LTP269	ltpFR2	12	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
824174	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	EGYPT	519	n/a	n/a	0	0	0
826792	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	GOBLIN	645	n/a	n/a	0	0	0
829328	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	ATLAS	53	n/a	n/a	0	0	0
831833	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	WAITRESS	1581	n/a	n/a	0	0	0
834283	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	SUPPER	1411	n/a	n/a	0	0	0
836985	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	CHAPEL	280	n/a	n/a	0	0	0
839404	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	JUDGE	761	n/a	n/a	0	0	0
842140	WORD	wordpools/wasnorm_wordpool_576.txt	LTP269	ltpFR2	12	5	SPOOL	1356	n/a	n/a	0	0	0
